INSERT INTO `users`(`userName`, `userEmail`, `userPassword`, `userHighscore`, `userRank`, `userElo`) VALUES
('cliqueget','cliqueget@yahoomail.com','cliqueget',38869,'Diamond',5392),
('seriesfootball','seriesfootball@outlook.com','seriesfootball',33809,'Diamond',5515),
('resistaccurate','resistaccurate@outlook.com','resistaccurate',55585,'Iron',7253),
('arrangeample','arrangeample@yahoomail.com','arrangeample',94234,'Diamond',3559),
('seriesfamily','seriesfamily@yahoomail.com','seriesfamily',18046,'Grandmaster',2113),
('interventiondisgrace','interventiondisgrace@yahoomail.com','interventiondisgrace',67960,'Diamond',1500),
('sinkdepressed','sinkdepressed@gmail.com','sinkdepressed',36692,'Master',1240),
('pleasurecylinder','pleasurecylinder@outlook.com','pleasurecylinder',51345,'Silver',8094),
('nocriticism','nocriticism@gmail.com','nocriticism',53452,'Gold',5660),
('cottagearena','cottagearena@outlook.com','cottagearena',1351,'Silver',6680),
('shotsouth','shotsouth@yahoomail.com','shotsouth',91460,'Iron',2277),
('depressedretiree','depressedretiree@outlook.com','depressedretiree',47751,'Diamond',7996),
('curtainexpertise','curtainexpertise@outlook.com','curtainexpertise',91072,'Iron',7653),
('gregariousdiscuss','gregariousdiscuss@yahoomail.com','gregariousdiscuss',18527,'Runner',7815),
('seriesword','seriesword@outlook.com','seriesword',4410,'Master',8809),
('establishcheck','establishcheck@yahoomail.com','establishcheck',2312,'Diamond',2147),
('visioncylinder','visioncylinder@gmail.com','visioncylinder',81031,'Diamond',3740),
('disasteraware','disasteraware@yahoomail.com','disasteraware',52247,'Iron',7051),
('gregariousflat','gregariousflat@outlook.com','gregariousflat',58778,'Plat',3278),
('checkexchange','checkexchange@outlook.com','checkexchange',58664,'Master',1988),
('doubtreservoir','doubtreservoir@yahoomail.com','doubtreservoir',24902,'Iron',6341),
('bulletaccessible','bulletaccessible@gmail.com','bulletaccessible',12082,'Diamond',7489),
('bombernursery','bombernursery@outlook.com','bombernursery',97240,'Grandmaster',7649),
('babyillusion','babyillusion@outlook.com','babyillusion',92559,'Runner',3585),
('liereproduction','liereproduction@yahoomail.com','liereproduction',1564,'Silver',2672),
('ampletalented','ampletalented@gmail.com','ampletalented',39033,'Silver',7255),
('consultationpollution','consultationpollution@gmail.com','consultationpollution',42377,'Grandmaster',3954),
('listengreeting','listengreeting@gmail.com','listengreeting',27458,'Plat',5288),
('standprey','standprey@gmail.com','standprey',90101,'Runner',1104),
('lacevision','lacevision@outlook.com','lacevision',41996,'Gold',3970),
('standreview','standreview@yahoomail.com','standreview',9019,'Bronze',2964),
('shatterpredict','shatterpredict@gmail.com','shatterpredict',56432,'Diamond',8622),
('talentedbomber','talentedbomber@outlook.com','talentedbomber',97678,'',2247),
('wisecracktalented','wisecracktalented@outlook.com','wisecracktalented',96248,'Plat',3775),
('cancerfitness','cancerfitness@yahoomail.com','cancerfitness',7419,'Diamond',6019),
('ribbonradio','ribbonradio@outlook.com','ribbonradio',90685,'Silver',7882),
('wristpreach','wristpreach@gmail.com','wristpreach',96737,'Grandmaster',8299),
('establishsniff','establishsniff@outlook.com','establishsniff',61501,'Iron',3227),
('opposedprovincial','opposedprovincial@outlook.com','opposedprovincial',94986,'Grandmaster',5564),
('pleasantstretch','pleasantstretch@outlook.com','pleasantstretch',6285,'Gold',424),
('listenrecover','listenrecover@gmail.com','listenrecover',58006,'Bronze',307),
('fame	predict','fame	predict@gmail.com','fame	predict',53019,'Master',6289),
('possessionextract','possessionextract@outlook.com','possessionextract',87051,'Gold',6461),
('talentedhike','talentedhike@yahoomail.com','talentedhike',42026,'',8681),
('reasonelegant','reasonelegant@gmail.com','reasonelegant',95624,'Bronze',2542),
('arenaaccompany','arenaaccompany@yahoomail.com','arenaaccompany',89042,'Plat',2668),
('contemptinfect','contemptinfect@gmail.com','contemptinfect',74873,'Master',7920),
('contemptpredict','contemptpredict@gmail.com','contemptpredict',33701,'Master',4254),
('snifflace','snifflace@gmail.com','snifflace',43779,'Master',4745),
('contemptbleed','contemptbleed@yahoomail.com','contemptbleed',28136,'Plat',9432),
('fishfollow','fishfollow@yahoomail.com','fishfollow',15526,'Gold',9878),
('fishexpectation','fishexpectation@yahoomail.com','fishexpectation',29782,'Runner',823),
('pietransmission','pietransmission@yahoomail.com','pietransmission',94464,'Bronze',6270),
('preachconstituency','preachconstituency@gmail.com','preachconstituency',48018,'Plat',8851),
('changeintervention','changeintervention@outlook.com','changeintervention',96566,'Runner',1048),
('equipgradual','equipgradual@outlook.com','equipgradual',59415,'Runner',7200),
('chocolatefeedback','chocolatefeedback@outlook.com','chocolatefeedback',84506,'',3053),
('cancersofa','cancersofa@outlook.com','cancersofa',12561,'Master',1639),
('valleyfist','valleyfist@yahoomail.com','valleyfist',31474,'Master',6565),
('drownaccessible','drownaccessible@outlook.com','drownaccessible',94874,'Grandmaster',495),
('gradualcolleague','gradualcolleague@yahoomail.com','gradualcolleague',64878,'Diamond',3387),
('consultationpick','consultationpick@gmail.com','consultationpick',71098,'Runner',7128),
('gradualprey','gradualprey@outlook.com','gradualprey',37256,'Bronze',4354),
('tidyshake','tidyshake@outlook.com','tidyshake',18777,'Silver',9887),
('awardvegetation','awardvegetation@outlook.com','awardvegetation',16472,'Bronze',2976),
('equipbleed','equipbleed@yahoomail.com','equipbleed',80304,'Silver',3306),
('satisfactioncredit','satisfactioncredit@yahoomail.com','satisfactioncredit',14253,'Plat',97),
('ribboncriticism','ribboncriticism@gmail.com','ribboncriticism',67748,'Grandmaster',7947),
('vegetationcorpse','vegetationcorpse@gmail.com','vegetationcorpse',87460,'Iron',1804),
('agendadeliver','agendadeliver@gmail.com','agendadeliver',27600,'Master',3260),
('breadequip','breadequip@yahoomail.com','breadequip',94566,'Plat',7582),
('nobread','nobread@yahoomail.com','nobread',75568,'Iron',1087),
('husbandexpectation','husbandexpectation@outlook.com','husbandexpectation',46356,'',6523),
('depressedinn','depressedinn@outlook.com','depressedinn',97595,'Gold',5133),
('screwcane','screwcane@gmail.com','screwcane',52989,'Runner',8611),
('routinerough','routinerough@gmail.com','routinerough',75124,'Iron',4240),
('reservoirelegant','reservoirelegant@yahoomail.com','reservoirelegant',70247,'Iron',2817),
('shatterextract','shatterextract@outlook.com','shatterextract',8571,'Diamond',2110),
('deficiencylatest','deficiencylatest@outlook.com','deficiencylatest',35787,'Master',1357),
('lieumbrella','lieumbrella@yahoomail.com','lieumbrella',2183,'Master',8935),
('agenursery','agenursery@outlook.com','agenursery',45385,'Bronze',5808),
('exchangefitness','exchangefitness@gmail.com','exchangefitness',91639,'Iron',3565),
('mainstreamprinter','mainstreamprinter@yahoomail.com','mainstreamprinter',77021,'Master',5388),
('accessiblevalley','accessiblevalley@outlook.com','accessiblevalley',56309,'Gold',4310),
('cityactive','cityactive@outlook.com','cityactive',39570,'Master',9058),
('preachleg','preachleg@outlook.com','preachleg',83094,'Plat',3744),
('chocolateitem','chocolateitem@gmail.com','chocolateitem',70396,'Silver',1066),
('deliverpleasure','deliverpleasure@gmail.com','deliverpleasure',61624,'',1425),
('cityromantic','cityromantic@gmail.com','cityromantic',81796,'Runner',4615),
('ampleinterface','ampleinterface@yahoomail.com','ampleinterface',47745,'',1350),
('cylinderelegant','cylinderelegant@gmail.com','cylinderelegant',52721,'Silver',2980),
('bragbrag','bragbrag@gmail.com','bragbrag',95206,'Diamond',5371),
('cityexemption','cityexemption@outlook.com','cityexemption',57489,'Silver',2257),
('taxilisten','taxilisten@outlook.com','taxilisten',16278,'Grandmaster',753),
('crackpotshadow','crackpotshadow@yahoomail.com','crackpotshadow',77300,'Master',154),
('valleyposition','valleyposition@outlook.com','valleyposition',55516,'Diamond',4382),
('retireeaccessible','retireeaccessible@outlook.com','retireeaccessible',86167,'',2325),
('feedbackelapse','feedbackelapse@yahoomail.com','feedbackelapse',65038,'Master',5036),
('retireeconsumption','retireeconsumption@yahoomail.com','retireeconsumption',19442,'Plat',2199),
('interestconsultation','interestconsultation@yahoomail.com','interestconsultation',18604,'Plat',309),
('expectationsiege','expectationsiege@yahoomail.com','expectationsiege',45916,'',9761),
('skateprogress','skateprogress@yahoomail.com','skateprogress',35135,'Plat',2839),
('recoverno','recoverno@yahoomail.com','recoverno',91926,'',5148),
('drownlie','drownlie@gmail.com','drownlie',2809,'',7221),
('battlefieldgallon','battlefieldgallon@yahoomail.com','battlefieldgallon',42819,'Gold',4718),
('describeconsultation','describeconsultation@outlook.com','describeconsultation',39261,'Master',2246),
('creditcrude','creditcrude@yahoomail.com','creditcrude',76298,'',9522),
('illusiondefendant','illusiondefendant@outlook.com','illusiondefendant',13705,'Grandmaster',8169),
('appearvision','appearvision@yahoomail.com','appearvision',79801,'Bronze',8855),
('opposedpreach','opposedpreach@outlook.com','opposedpreach',59981,'Bronze',3894),
('twitchpie','twitchpie@gmail.com','twitchpie',9267,'Bronze',3275),
('reasonexpansion','reasonexpansion@gmail.com','reasonexpansion',84954,'Gold',5237),
('agereturn','agereturn@outlook.com','agereturn',56249,'Iron',8197),
('stableseason','stableseason@outlook.com','stableseason',71636,'Gold',4605),
('umbrellaarrest','umbrellaarrest@gmail.com','umbrellaarrest',60109,'Master',1908),
('umbrellashadow','umbrellashadow@outlook.com','umbrellashadow',20839,'Master',5231),
('glimpsereview','glimpsereview@yahoomail.com','glimpsereview',78926,'Grandmaster',4965),
('chartergraphic','chartergraphic@yahoomail.com','chartergraphic',27381,'Gold',4732),
('drownfeedback','drownfeedback@outlook.com','drownfeedback',87147,'Plat',7866),
('matchpossession','matchpossession@outlook.com','matchpossession',98083,'Bronze',3499),
('arrowwell','arrowwell@outlook.com','arrowwell',56764,'',1149),
('returnbullet','returnbullet@gmail.com','returnbullet',22126,'',1091),
('feedbackgrimace','feedbackgrimace@yahoomail.com','feedbackgrimace',14721,'Gold',570),
('predictappetite','predictappetite@outlook.com','predictappetite',87177,'Diamond',3069),
('stablefollow','stablefollow@gmail.com','stablefollow',35157,'Runner',9857),
('nurseryappetite','nurseryappetite@outlook.com','nurseryappetite',27940,'Plat',8376),
('cancerdeficiency','cancerdeficiency@gmail.com','cancerdeficiency',91477,'Gold',7360),
('prayercane','prayercane@yahoomail.com','prayercane',10324,'',2302),
('monkcane','monkcane@yahoomail.com','monkcane',47185,'Grandmaster',3086),
('erainterest','erainterest@outlook.com','erainterest',24875,'Silver',7564),
('breadcrude','breadcrude@gmail.com','breadcrude',2067,'Master',3462),
('seasondismissal','seasondismissal@gmail.com','seasondismissal',97990,'Runner',986),
('prayerposition','prayerposition@outlook.com','prayerposition',40545,'Silver',5264),
('grimacebread','grimacebread@yahoomail.com','grimacebread',25622,'Runner',3337),
('ribbonhandy','ribbonhandy@gmail.com','ribbonhandy',88547,'',9164),
('umbrellashadow','umbrellashadow@yahoomail.com','umbrellashadow',75253,'Diamond',2039),
('matchdeliver','matchdeliver@outlook.com','matchdeliver',89205,'Grandmaster',1565),
('talentedget','talentedget@outlook.com','talentedget',51130,'Diamond',1220),
('locateglare','locateglare@yahoomail.com','locateglare',50530,'Iron',2202),
('paperrefund','paperrefund@outlook.com','paperrefund',23534,'Runner',4812),
('commemoratebomber','commemoratebomber@yahoomail.com','commemoratebomber',43225,'Silver',2487),
('hurtcolleague','hurtcolleague@yahoomail.com','hurtcolleague',18998,'Bronze',1876),
('circulationvelvet','circulationvelvet@yahoomail.com','circulationvelvet',77563,'Gold',6695),
('culturegrimace','culturegrimace@gmail.com','culturegrimace',61589,'Runner',7349),
('discusschocolate','discusschocolate@yahoomail.com','discusschocolate',30164,'',1349),
('radioexpansion','radioexpansion@outlook.com','radioexpansion',78981,'Bronze',4136),
('snowmoving','snowmoving@outlook.com','snowmoving',68337,'Diamond',8824),
('serveexchange','serveexchange@outlook.com','serveexchange',36730,'Iron',44),
('freedomlie','freedomlie@outlook.com','freedomlie',55613,'Plat',2970),
('husbandearwax','husbandearwax@gmail.com','husbandearwax',49724,'Iron',2222),
('sandwichheaven','sandwichheaven@yahoomail.com','sandwichheaven',81645,'Silver',4847),
('favouritelily','favouritelily@outlook.com','favouritelily',46115,'Diamond',3652),
('disgracetaxi','disgracetaxi@gmail.com','disgracetaxi',75677,'',6188),
('dictionarylie','dictionarylie@gmail.com','dictionarylie',49661,'Silver',8086),
('arrowshot','arrowshot@outlook.com','arrowshot',40190,'Diamond',1245),
('lacefitness','lacefitness@outlook.com','lacefitness',76998,'Diamond',9622),
('battlefieldpleasure','battlefieldpleasure@yahoomail.com','battlefieldpleasure',57186,'Silver',225),
('recoverget','recoverget@yahoomail.com','recoverget',28396,'Iron',359),
('establishmention','establishmention@gmail.com','establishmention',55710,'Gold',3022),
('gallonbarrier','gallonbarrier@yahoomail.com','gallonbarrier',17806,'Gold',8665),
('gradualsex','gradualsex@yahoomail.com','gradualsex',17875,'Plat',6740),
('faxcheck','faxcheck@gmail.com','faxcheck',59249,'Plat',6900),
('bleedquarter','bleedquarter@outlook.com','bleedquarter',93425,'',1214),
('accessiblepredict','accessiblepredict@gmail.com','accessiblepredict',64685,'Silver',810),
('familybarrier','familybarrier@yahoomail.com','familybarrier',55852,'',9790),
('getstep','getstep@gmail.com','getstep',15383,'Iron',551),
('lilyillusion','lilyillusion@yahoomail.com','lilyillusion',3963,'Silver',6923),
('positionprint','positionprint@gmail.com','positionprint',80982,'Master',2700),
('foolpush','foolpush@gmail.com','foolpush',74553,'Bronze',3568),
('barriernursery','barriernursery@outlook.com','barriernursery',37788,'Plat',8707),
('transmissionget','transmissionget@outlook.com','transmissionget',55748,'',5568),
('ancestorroute','ancestorroute@yahoomail.com','ancestorroute',74698,'Runner',2255),
('cuttinglace','cuttinglace@outlook.com','cuttinglace',82674,'Gold',8869),
('servecrackpot','servecrackpot@outlook.com','servecrackpot',93708,'Bronze',9991),
('standretiree','standretiree@yahoomail.com','standretiree',12625,'Bronze',9180),
('matchfavourite','matchfavourite@gmail.com','matchfavourite',91322,'Master',1976),
('gradualpublisher','gradualpublisher@gmail.com','gradualpublisher',43090,'Bronze',6812),
('consultationaccessible','consultationaccessible@yahoomail.com','consultationaccessible',19404,'Diamond',3223),
('failuredescent','failuredescent@outlook.com','failuredescent',51559,'Gold',3783),
('freedomprogress','freedomprogress@gmail.com','freedomprogress',64952,'Silver',9231),
('reproductionsquare','reproductionsquare@gmail.com','reproductionsquare',39085,'Grandmaster',5302),
('gostress','gostress@yahoomail.com','gostress',32469,'Master',3096),
('tiptoehole','tiptoehole@outlook.com','tiptoehole',83034,'Bronze',8269),
('crackpotopinion','crackpotopinion@outlook.com','crackpotopinion',96624,'Diamond',9018),
('publisherdefendant','publisherdefendant@outlook.com','publisherdefendant',95166,'Gold',4285),
('standnursery','standnursery@gmail.com','standnursery',90448,'Master',1697),
('lightprint','lightprint@gmail.com','lightprint',74539,'Grandmaster',5962),
('itemprogress','itemprogress@gmail.com','itemprogress',30683,'Grandmaster',3296),
('holepleasant','holepleasant@gmail.com','holepleasant',84438,'Plat',1531),
('familydrown','familydrown@gmail.com','familydrown',70742,'Grandmaster',1845),
('corpsefeedback','corpsefeedback@gmail.com','corpsefeedback',29350,'Plat',6881),
('descenttrain','descenttrain@yahoomail.com','descenttrain',14832,'Bronze',9173),
('mentionsink','mentionsink@outlook.com','mentionsink',16307,'Iron',9799),
('cuttingarrange','cuttingarrange@yahoomail.com','cuttingarrange',15899,'',3840),
('chocolatecontempt','chocolatecontempt@outlook.com','chocolatecontempt',80329,'Grandmaster',6038),
('greetingdiscuss','greetingdiscuss@yahoomail.com','greetingdiscuss',46044,'Runner',8150),
('umbrellalisten','umbrellalisten@gmail.com','umbrellalisten',65780,'Iron',8969),
('snowhike','snowhike@outlook.com','snowhike',96839,'Plat',9349),
('reasonshot','reasonshot@gmail.com','reasonshot',11299,'Silver',2829),
('glimpseprey','glimpseprey@gmail.com','glimpseprey',31557,'Runner',568),
('selectionuncertainty','selectionuncertainty@outlook.com','selectionuncertainty',52610,'',5767),
('warrantafford','warrantafford@outlook.com','warrantafford',89237,'Silver',4234),
('cottagetidy','cottagetidy@gmail.com','cottagetidy',33101,'Runner',7415),
('wellcylinder','wellcylinder@outlook.com','wellcylinder',32313,'Plat',1712),
('holerefund','holerefund@outlook.com','holerefund',26595,'Iron',52),
('listenTRUE','listenTRUE@yahoomail.com','listenTRUE',31619,'Silver',9331),
('twinflat','twinflat@outlook.com','twinflat',3768,'Plat',4081),
('superintendentinfect','superintendentinfect@outlook.com','superintendentinfect',3993,'Diamond',3108),
('trainancestor','trainancestor@gmail.com','trainancestor',30693,'',2755),
('retireedescent','retireedescent@yahoomail.com','retireedescent',22469,'Bronze',9533),
('contemptconstituency','contemptconstituency@yahoomail.com','contemptconstituency',89962,'Runner',1906),
('expectationfreedom','expectationfreedom@outlook.com','expectationfreedom',71209,'Grandmaster',9483),
('reservoiraccurate','reservoiraccurate@outlook.com','reservoiraccurate',37660,'Plat',8510),
('footballexpertise','footballexpertise@gmail.com','footballexpertise',41613,'Grandmaster',9801),
('sparedescent','sparedescent@gmail.com','sparedescent',85171,'Diamond',2616),
('earwaxvision','earwaxvision@outlook.com','earwaxvision',73738,'Bronze',2428),
('wellhole','wellhole@yahoomail.com','wellhole',72564,'Grandmaster',3943),
('pickhole','pickhole@gmail.com','pickhole',19088,'Silver',1969),
('seasonpick','seasonpick@yahoomail.com','seasonpick',1033,'Plat',4820),
('resisttwin','resisttwin@gmail.com','resisttwin',57519,'',8974),
('exemptioncontempt','exemptioncontempt@gmail.com','exemptioncontempt',31368,'',8455),
('awaredismissal','awaredismissal@outlook.com','awaredismissal',75177,'Silver',3376),
('shivermonk','shivermonk@gmail.com','shivermonk',33042,'Plat',7309),
('listenfame	','listenfame	@gmail.com','listenfame	',88065,'Diamond',9116),
('digitalfollow','digitalfollow@outlook.com','digitalfollow',52387,'Grandmaster',7672),
('lacesuperintendent','lacesuperintendent@outlook.com','lacesuperintendent',76386,'Master',8715),
('uncertaintytwin','uncertaintytwin@outlook.com','uncertaintytwin',39512,'Grandmaster',2645),
('civilizationskip','civilizationskip@yahoomail.com','civilizationskip',27730,'Plat',1200),
('pievegetation','pievegetation@yahoomail.com','pievegetation',91182,'Iron',8714),
('elegantdigital','elegantdigital@outlook.com','elegantdigital',64449,'Runner',3334),
('graphichandy','graphichandy@yahoomail.com','graphichandy',89827,'Grandmaster',9655),
('paperhousewife','paperhousewife@gmail.com','paperhousewife',54123,'Gold',7220),
('bangjustify','bangjustify@yahoomail.com','bangjustify',38463,'',3750),
('arrangedefendant','arrangedefendant@outlook.com','arrangedefendant',21630,'Bronze',2483),
('arrestsequence','arrestsequence@yahoomail.com','arrestsequence',59472,'Grandmaster',1794),
('umbrellaappear','umbrellaappear@gmail.com','umbrellaappear',74460,'Grandmaster',2780),
('drownbed','drownbed@gmail.com','drownbed',47187,'Runner',6556),
('heavenfootball','heavenfootball@outlook.com','heavenfootball',29413,'Diamond',2246),
('possessiondiscuss','possessiondiscuss@yahoomail.com','possessiondiscuss',16109,'Master',3998),
('twitchpromotion','twitchpromotion@gmail.com','twitchpromotion',48427,'Iron',6759),
('bleedgrimace','bleedgrimace@outlook.com','bleedgrimace',24913,'',8040),
('establishsex','establishsex@gmail.com','establishsex',69374,'',1543),
('spontaneousprey','spontaneousprey@gmail.com','spontaneousprey',74739,'Diamond',8803),
('publisherarrangement','publisherarrangement@yahoomail.com','publisherarrangement',3998,'Runner',674),
('constituencytalented','constituencytalented@yahoomail.com','constituencytalented',41705,'Gold',5050),
('breadcheck','breadcheck@outlook.com','breadcheck',13978,'Master',1838),
('colleaguedrum','colleaguedrum@outlook.com','colleaguedrum',16982,'Silver',9691),
('ribbontransmission','ribbontransmission@gmail.com','ribbontransmission',83275,'Master',6547),
('talentedcrackpot','talentedcrackpot@gmail.com','talentedcrackpot',64302,'',2790),
('opiniontaxi','opiniontaxi@outlook.com','opiniontaxi',96711,'Silver',9397),
('illusionpromotion','illusionpromotion@yahoomail.com','illusionpromotion',66248,'Plat',9787),
('transmissiondismissal','transmissiondismissal@yahoomail.com','transmissiondismissal',42312,'',6866),
('elegantfactory','elegantfactory@outlook.com','elegantfactory',37635,'Silver',5031),
('fearbaby','fearbaby@outlook.com','fearbaby',93831,'Iron',8311),
('wristromantic','wristromantic@yahoomail.com','wristromantic',19931,'Runner',6875),
('predictleg','predictleg@gmail.com','predictleg',71007,'Iron',9624),
('establishnursery','establishnursery@outlook.com','establishnursery',64694,'Silver',9967),
('getprey','getprey@outlook.com','getprey',23709,'Silver',585),
('preyromantic','preyromantic@outlook.com','preyromantic',72719,'Plat',444),
('familysatisfaction','familysatisfaction@gmail.com','familysatisfaction',43436,'Runner',3086),
('agendavegetation','agendavegetation@outlook.com','agendavegetation',66563,'Diamond',7437),
('innleft','innleft@gmail.com','innleft',90408,'Master',5321),
('fusspan','fusspan@yahoomail.com','fusspan',64213,'Master',9058),
('discusshousewife','discusshousewife@gmail.com','discusshousewife',23625,'Master',4163),
('tiptoearrow','tiptoearrow@gmail.com','tiptoearrow',68112,'',4096),
('itemsnow','itemsnow@yahoomail.com','itemsnow',94888,'Gold',7036),
('bedrecover','bedrecover@yahoomail.com','bedrecover',21946,'Bronze',5830),
('preysequence','preysequence@yahoomail.com','preysequence',12521,'',3467),
('servecoup','servecoup@yahoomail.com','servecoup',41364,'Bronze',2238),
('extractbread','extractbread@gmail.com','extractbread',7581,'',4834),
('absenceexchange','absenceexchange@yahoomail.com','absenceexchange',38217,'Bronze',9165),
('romantichike','romantichike@yahoomail.com','romantichike',12920,'Diamond',322),
('recordingserve','recordingserve@yahoomail.com','recordingserve',83356,'Diamond',673),
('snifffile','snifffile@yahoomail.com','snifffile',29179,'',6832),
('prayertalented','prayertalented@gmail.com','prayertalented',38051,'Runner',578),
('ancestorexpertise','ancestorexpertise@outlook.com','ancestorexpertise',62907,'Master',6654),
('sandwichcontempt','sandwichcontempt@outlook.com','sandwichcontempt',42588,'Runner',437),
('skipsequence','skipsequence@yahoomail.com','skipsequence',82140,'Silver',1599),
('inncolleague','inncolleague@yahoomail.com','inncolleague',68710,'Plat',9951),
('dictionarycylinder','dictionarycylinder@gmail.com','dictionarycylinder',71893,'Gold',315),
('arrangementlisten','arrangementlisten@yahoomail.com','arrangementlisten',58878,'Plat',9941),
('productionquarter','productionquarter@gmail.com','productionquarter',92607,'Silver',1154),
('faxproduction','faxproduction@gmail.com','faxproduction',69039,'Grandmaster',985),
('housewifepossession','housewifepossession@yahoomail.com','housewifepossession',95793,'Runner',7273),
('prayeropinion','prayeropinion@yahoomail.com','prayeropinion',47212,'Plat',4350),
('heavenspare','heavenspare@outlook.com','heavenspare',62212,'Gold',4851),
('southexperienced','southexperienced@outlook.com','southexperienced',14649,'Diamond',1711),
('arrangeselection','arrangeselection@outlook.com','arrangeselection',37108,'Gold',973),
('handycivilization','handycivilization@gmail.com','handycivilization',48268,'Diamond',5953),
('awarevalley','awarevalley@outlook.com','awarevalley',38205,'Diamond',2384),
('sextiptoe','sextiptoe@gmail.com','sextiptoe',92639,'Bronze',5978),
('possessionexchange','possessionexchange@gmail.com','possessionexchange',67995,'Plat',1451),
('corpseexpansion','corpseexpansion@yahoomail.com','corpseexpansion',88515,'Iron',582),
('screwexpansion','screwexpansion@yahoomail.com','screwexpansion',20975,'Runner',679),
('twitchexemption','twitchexemption@yahoomail.com','twitchexemption',25828,'Diamond',7008),
('recovertrunk','recovertrunk@yahoomail.com','recovertrunk',33530,'Runner',1938),
('prayerdigital','prayerdigital@gmail.com','prayerdigital',83349,'Bronze',8402),
('pleasureselection','pleasureselection@yahoomail.com','pleasureselection',67227,'Master',5498),
('locatewell','locatewell@outlook.com','locatewell',96745,'Silver',3242),
('discusstrench','discusstrench@gmail.com','discusstrench',26516,'',6869),
('lilylack','lilylack@gmail.com','lilylack',66319,'Runner',3062),
('velvetuncertainty','velvetuncertainty@outlook.com','velvetuncertainty',37391,'Iron',5374),
('shiverarrest','shiverarrest@gmail.com','shiverarrest',22652,'Gold',254),
('modestmodest','modestmodest@gmail.com','modestmodest',79675,'Master',1023),
('faxdescent','faxdescent@outlook.com','faxdescent',11801,'Plat',1235),
('sequencedrum','sequencedrum@gmail.com','sequencedrum',38356,'Diamond',1257),
('wisecrackdisgrace','wisecrackdisgrace@yahoomail.com','wisecrackdisgrace',38813,'Runner',5388),
('activelace','activelace@yahoomail.com','activelace',83944,'Bronze',872),
('graphicitem','graphicitem@outlook.com','graphicitem',77387,'Bronze',6862),
('tunelight','tunelight@gmail.com','tunelight',60585,'Runner',745),
('depressedliterature','depressedliterature@yahoomail.com','depressedliterature',34673,'Plat',4957),
('cottagecivilization','cottagecivilization@gmail.com','cottagecivilization',58022,'Diamond',3608),
('corpseskip','corpseskip@gmail.com','corpseskip',35750,'Gold',9733),
('pollutioncheck','pollutioncheck@gmail.com','pollutioncheck',74299,'Bronze',9956),
('umbrellareservoir','umbrellareservoir@yahoomail.com','umbrellareservoir',17963,'Silver',9313),
('noreproduction','noreproduction@yahoomail.com','noreproduction',52081,'Diamond',2490),
('cliquelatest','cliquelatest@gmail.com','cliquelatest',5869,'Diamond',439),
('squarearena','squarearena@yahoomail.com','squarearena',21947,'Plat',8453),
('doubtdeficiency','doubtdeficiency@outlook.com','doubtdeficiency',85428,'Gold',4324),
('elegantno','elegantno@gmail.com','elegantno',34785,'Gold',6090),
('possiblequarter','possiblequarter@yahoomail.com','possiblequarter',88402,'Bronze',1831),
('filesnow','filesnow@outlook.com','filesnow',51963,'Plat',8779),
('wellhousewife','wellhousewife@outlook.com','wellhousewife',73736,'Plat',7330),
('stresscalorie','stresscalorie@gmail.com','stresscalorie',90830,'Grandmaster',873),
('lackexpertise','lackexpertise@outlook.com','lackexpertise',12752,'Grandmaster',9321),
('crackpotvelvet','crackpotvelvet@outlook.com','crackpotvelvet',89310,'Plat',59),
('monkbullet','monkbullet@yahoomail.com','monkbullet',52821,'Plat',1494),
('foolmodest','foolmodest@gmail.com','foolmodest',45248,'Gold',8198),
('preachextension','preachextension@yahoomail.com','preachextension',57185,'Iron',8329),
('routeroute','routeroute@yahoomail.com','routeroute',73861,'Master',6095),
('trainsex','trainsex@yahoomail.com','trainsex',9574,'',246),
('preachdiet','preachdiet@gmail.com','preachdiet',29301,'Master',7241),
('reservoirexpansion','reservoirexpansion@yahoomail.com','reservoirexpansion',82258,'Diamond',3536),
('preachcurtain','preachcurtain@outlook.com','preachcurtain',51852,'Iron',4993),
('opposedfear','opposedfear@gmail.com','opposedfear',78615,'Grandmaster',7533),
('imagelack','imagelack@yahoomail.com','imagelack',71658,'Silver',2454),
('glareappetite','glareappetite@yahoomail.com','glareappetite',47666,'Master',8278),
('opposeddeliver','opposeddeliver@gmail.com','opposeddeliver',6191,'Grandmaster',4649),
('sandwichestablish','sandwichestablish@outlook.com','sandwichestablish',3048,'',1179),
('awareinterface','awareinterface@yahoomail.com','awareinterface',40141,'Bronze',8922),
('tuneestablish','tuneestablish@yahoomail.com','tuneestablish',25524,'Plat',4039),
('legmail','legmail@outlook.com','legmail',17548,'Grandmaster',8644),
('exchangelocate','exchangelocate@outlook.com','exchangelocate',5217,'Bronze',3190),
('smalldiet','smalldiet@yahoomail.com','smalldiet',45690,'Plat',676),
('doubtfollow','doubtfollow@gmail.com','doubtfollow',73595,'Plat',7936),
('positionwarrant','positionwarrant@yahoomail.com','positionwarrant',45184,'Runner',256),
('drownarrow','drownarrow@outlook.com','drownarrow',67936,'Iron',9600),
('interventionaccessible','interventionaccessible@yahoomail.com','interventionaccessible',89975,'Runner',517),
('laceleft','laceleft@yahoomail.com','laceleft',28769,'',4382),
('feedbackserve','feedbackserve@outlook.com','feedbackserve',95357,'Diamond',1643),
('drownvirtue','drownvirtue@yahoomail.com','drownvirtue',26828,'Gold',4089),
